"- - - - - - - - - - - - - -",""
"COMMENT: these are Magento phrases that are translated for Acumen",""
"- - - - - - - - - - - - - -",""

"-- Please Select --","Select option..."
"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s has been added to your wishlist. <a href=""%2$s"" class='button button-small button-subtle'>Continue Shopping</a>"
"Billing Information","Billing Address"
"Choose an Option...","Select option..."
"Discount (%s)","Coupon (%s)"
"Payment Information","Payment Method"
"Please, enter your comments...",""
"Position","Best Value"
"Products tagged with '%s'","Tagged: %s"
"Qty:","Quantity"
"Reload captcha","Reload"
"Remember Me","Remember me"
"Search results for: '%s'","Searched: %s"
"Select...","Select option..."
"Ship to different address","Ship to a different address"
"Shipping Information","Shipping Address"
"State/Province","State"
"What's this?","What&rsquo;s this?"
"Zip/Postal Code","Zip Code"




"- - - - - - - - - - - - - -",""
"COMMENT: these are Magento phrases that have been modified in Acumen templates",""
"- - - - - - - - - - - - - -",""

"Add gift options","Show gift options"
"Add gift options for Individual Items","Add gift message"
"Add gift options for the Entire Order","Add gift message"
"Do you have any gift items in your order?","Gift Options"
"Gift Options for Individual Items","For individual items:"
"Gift Options for the Entire Order.","For this order:"
"Gift Options for this address.","For this address:"




"- - - - - - - - - - - - - -",""
"COMMENT: these are custom phrases found only in Acumen",""
"- - - - - - - - - - - - - -",""

"1 - Unsatisfactory","1 - Unsatisfactory"
"2 - Poor","2 - Poor"
"3 - Average","3 - Average"
"4 - Good","4 - Good"
"5 - Excellent","5 - Excellent"
"Accepted payment methods:","Accepted payment methods:"
"Checking &ldquo;Remember me&rdquo; let&rsquo;s you access your shopping cart on this computer when you are signed out.","Checking &ldquo;Remember me&rdquo; let&rsquo;s you access your shopping cart on this computer when you are signed out."
"Checkout faster","Checkout faster"
"Custom 1","Custom 1"
"Custom 2","Custom 2"
"Register For An Account","Register For An Account"
"Save items to wishlist","Save items to wishlist"
"Sending your order...","Sending your order..."
"Store multiple shipping addresses","Store multiple shipping addresses"
"Type the characters","Type the characters"
"View and track orders","View and track orders"
"We accept","We accept"
"Your wishlist is empty.","Your wishlist is empty."
